"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
3,0.01,0.109799291617473,0.109405745769382,0.129083038173947,0.109405745769382,0.116141732283465,0.107438016528926,0.111373475009839,0.123179850452578,0.118850846123573,0.12007874015748,0.114521841794569,0.116489571035026,0.117670208579299,0.119637937819756,0.12244094488189,0.109405745769382,0.112554112554113,0.115702479338843,0.112554112554113,0.108661417322835
6,0.01,0.105470287288469,0.103502558048013,0.124754033844943,0.114521841794569,0.116929133858268,0.107831562377017,0.11491538764266,0.124754033844943,0.117670208579299,0.123622047244094,0.117670208579299,0.118850846123573,0.118850846123573,0.121212121212121,0.121259842519685,0.111373475009839,0.112947658402204,0.118063754427391,0.11176702085793,0.111023622047244
10,0.01,0.108225108225108,0.107438016528926,0.128295946477765,0.116096025186934,0.121259842519685,0.107438016528926,0.116883116883117,0.12396694214876,0.118457300275482,0.122834645669291,0.12081857536403,0.117670208579299,0.121212121212121,0.123573396300669,0.124803149606299,0.118457300275482,0.11176702085793,0.121212121212121,0.116096025186934,0.109842519685039
3,0.1,0.109799291617473,0.107044470680834,0.130263675718221,0.112160566706021,0.116929133858268,0.1086186540732,0.109799291617473,0.121999212908304,0.118063754427391,0.123622047244094,0.115702479338843,0.116096025186934,0.116096025186934,0.116489571035026,0.120866141732283,0.110979929161747,0.110979929161747,0.116883116883117,0.11176702085793,0.109448818897638
6,0.1,0.109012199921291,0.110192837465565,0.129083038173947,0.11176702085793,0.115354330708661,0.106257378984652,0.112554112554113,0.124754033844943,0.119244391971665,0.125196850393701,0.117276662731208,0.112554112554113,0.120031483667847,0.120425029515939,0.120866141732283,0.113734750098386,0.110979929161747,0.113734750098386,0.112554112554113,0.110236220472441
10,0.1,0.109405745769382,0.104289649744195,0.125934671389217,0.112947658402204,0.120866141732283,0.110586383313656,0.114128295946478,0.123573396300669,0.120425029515939,0.122834645669291,0.112947658402204,0.116096025186934,0.120425029515939,0.121212121212121,0.123622047244094,0.113734750098386,0.116096025186934,0.114521841794569,0.116883116883117,0.108267716535433
3,0.5,0.106650924832743,0.10586383313656,0.129476584022039,0.110192837465565,0.113779527559055,0.107831562377017,0.111373475009839,0.124754033844943,0.119637937819756,0.123228346456693,0.114521841794569,0.116489571035026,0.120425029515939,0.119244391971665,0.12244094488189,0.112554112554113,0.114128295946478,0.117670208579299,0.11176702085793,0.109842519685039
6,0.5,0.1086186540732,0.107831562377017,0.129083038173947,0.112554112554113,0.118110236220472,0.108225108225108,0.113341204250295,0.125147579693034,0.119637937819756,0.121259842519685,0.115702479338843,0.117276662731208,0.120425029515939,0.118457300275482,0.123622047244094,0.112160566706021,0.11491538764266,0.118063754427391,0.113341204250295,0.11259842519685
10,0.5,0.11176702085793,0.107831562377017,0.128295946477765,0.110586383313656,0.116535433070866,0.107831562377017,0.11491538764266,0.125541125541126,0.121605667060213,0.12244094488189,0.115702479338843,0.117276662731208,0.120031483667847,0.119637937819756,0.12244094488189,0.112947658402204,0.112554112554113,0.115702479338843,0.112947658402204,0.114566929133858
3,0.75,0.106257378984652,0.106650924832743,0.128295946477765,0.110586383313656,0.115748031496063,0.107044470680834,0.110979929161747,0.123179850452578,0.120031483667847,0.122834645669291,0.115308933490752,0.116883116883117,0.119244391971665,0.117276662731208,0.122047244094488,0.112554112554113,0.114128295946478,0.117276662731208,0.109799291617473,0.110629921259843
6,0.75,0.107044470680834,0.106650924832743,0.129083038173947,0.109405745769382,0.115354330708661,0.107044470680834,0.11176702085793,0.125147579693034,0.120425029515939,0.122834645669291,0.117276662731208,0.117276662731208,0.120425029515939,0.121212121212121,0.121259842519685,0.113734750098386,0.11491538764266,0.116096025186934,0.11176702085793,0.111811023622047
10,0.75,0.107438016528926,0.107831562377017,0.129083038173947,0.110192837465565,0.115354330708661,0.106650924832743,0.11176702085793,0.125147579693034,0.12081857536403,0.121653543307087,0.115702479338843,0.116096025186934,0.121999212908304,0.118457300275482,0.120866141732283,0.113341204250295,0.113341204250295,0.116096025186934,0.109799291617473,0.112204724409449
3,1,0.106257378984652,0.107044470680834,0.127902400629673,0.1086186540732,0.11496062992126,0.107831562377017,0.11176702085793,0.122786304604486,0.120425029515939,0.122834645669291,0.11491538764266,0.115702479338843,0.118850846123573,0.117670208579299,0.12244094488189,0.112554112554113,0.113341204250295,0.116883116883117,0.109799291617473,0.110236220472441
6,1,0.108225108225108,0.107438016528926,0.128689492325856,0.110586383313656,0.11496062992126,0.107831562377017,0.111373475009839,0.123573396300669,0.12081857536403,0.120472440944882,0.114521841794569,0.116883116883117,0.119244391971665,0.120425029515939,0.122834645669291,0.112947658402204,0.114521841794569,0.117276662731208,0.110192837465565,0.110236220472441
10,1,0.108225108225108,0.108225108225108,0.128689492325856,0.109405745769382,0.11496062992126,0.106650924832743,0.11176702085793,0.123573396300669,0.121212121212121,0.120472440944882,0.114128295946478,0.116096025186934,0.119244391971665,0.12081857536403,0.118897637795276,0.113341204250295,0.11491538764266,0.117276662731208,0.110979929161747,0.111417322834646
